trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1230010,4,1,"Washtenaw to BTC",,0,4801,shp-4-06,1,1
1489020,66,2,"Carpenter - Huron Pkwy to Meijer",,0,8502,shp-66-51,1,1
536020,28,2,"Pauline to Maple & Pennsylvania",,1,2302,shp-28-12,1,1
1036020,47,2,"47 Harriet Michigan to YTC",,0,7602,shp-47-51,1,1
1297020,43,2,"E Michigan Ave to Ypsilanti Transit Ctr",,0,7502,shp-43-51,1,1
3025020,4,2,"Washtenaw to BTC",,0,5702,shp-4-06,1,1
656020,28,2,"28 Pauline to BTC",,0,3002,shp-28-10,1,1
1133010,44,1,"44 Ecorse Tyler to YTC",,0,6501,shp-44-52,1,1
2792020,3,2," Huron River to YTC",,1,7202,shp-3-53,1,1
2179070,32,3,"Miller - Maple to Blake Transit Ctr",,0,4507,shp-32-06,1,1
992020,31,2,"Dexter Ave to Blake Transit Ctr",,0,1602,shp-31-04,1,1
1248010,24,1,"Eisenhower - Golfside to County Recreation Ctr",,1,501,shp-24-58,1,1
272070,32,3,"Miller - Maple to Blake Transit Ctr",,0,4507,shp-32-06,1,1
1740070,46,3,"Paint Creek to Ypsilanti Transit Ctr",,0,6607,shp-46-51,1,1
3087020,66,2,"Carpenter - Huron Pkwy to Meijer",,0,8102,shp-66-51,1,1
352020,22,2,"Pontiac - Dhu Varren to BTC",,0,3702,shp-22-01,1,1
1620010,31,1,"Dexter Ave to Jackson & Wagnor",,1,401,shp-31-51,1,1
1439020,62,2,"U-M - State St to Wolverine Tower",,0,9602,shp-62-54,1,1
193020,4,2,"Washtenaw to YTC",,1,5002,shp-4-55,1,1
100020,62,2,"U-M - State St to Wolverine Tower",,0,9402,shp-62-54,1,1
1554010,6,1,"Ellsworth to Ypsilanti Transit Ctr",,1,601,shp-6-62,1,1
1039020,47,2,"47 Harriet Michigan to Hewistt & Ellsworth",,1,7602,shp-47-02,1,1
2090070,44,3,"44 Ecorse Tyler to West Willow",,1,6507,shp-44-02,1,1
1364020,47,2,"47 Harriet Michigan to Hewistt & Ellsworth",,1,7402,shp-47-02,1,1
1664020,61,2,"U-M Miller to Miller Rd P+R",,1,8902,shp-61-51,1,1
2059020,44,2,"44 Ecorse Tyler to West Willow",,1,6902,shp-44-02,1,1
2623010,42,1,"Forest - MacArthur to MacArthur & Harris",,1,6501,shp-42-03,1,1
